
x=0.967611  erro_sin=9.769963e-15
x=0.980177  erro_sin=7.216450e-15
x=0.992743  erro_sin=5.329071e-15
x=1.005310  erro_sin=3.885781e-15
x=1.017876  erro_sin=2.886580e-15
x=1.030442  erro_sin=2.109424e-15
x=1.043009  erro_sin=1.443290e-15
x=1.055575  erro_sin=1.110223e-15
x=1.068142  erro_sin=7.771561e-16
x=1.080708  erro_sin=5.551115e-16
x=1.093274  erro_sin=3.330669e-16
x=1.105841  erro_sin=3.330669e-16
x=1.118407  erro_sin=1.110223e-16
x=1.130973  erro_sin=1.110223e-16
x=1.143540  erro_sin=1.110223e-16
x=1.156106  erro_sin=1.110223e-16
x=1.168672  erro_sin=1.110223e-16
x=1.181239  erro_sin=1.110223e-16
x=1.193805  erro_sin=1.110223e-16
x=1.206372  erro_sin=0.000000e+00
x=1.218938  erro_sin=0.000000e+00
x=1.231504  erro_sin=0.000000e+00
x=1.244071  erro_sin=0.000000e+00
x=1.256637  erro_sin=1.110223e-16
x=1.269203  erro_sin=1.110223e-16
x=1.281770  erro_sin=0.000000e+00
x=1.294336  erro_sin=1.110223e-16
x=1.306903  erro_sin=0.000000e+00
x=1.319469  erro_sin=1.110223e-16
x=1.332035  erro_sin=0.000000e+00
x=1.344602  erro_sin=0.000000e+00
x=1.357168  erro_sin=0.000000e+00
x=1.369734  erro_sin=0.000000e+00
x=1.382301  erro_sin=0.000000e+00
x=1.394867  erro_sin=0.000000e+00
x=1.407434  erro_sin=0.000000e+00
x=1.420000  erro_sin=0.000000e+00
x=1.432566  erro_sin=0.000000e+00
x=1.445133  erro_sin=0.000000e+00
x=1.457699  erro_sin=0.000000e+00
x=1.470265  erro_sin=0.000000e+00
x=1.482832  erro_sin=0.000000e+00
x=1.495398  erro_sin=0.000000e+00
x=1.507964  erro_sin=0.000000e+00
x=1.520531  erro_sin=0.000000e+00
x=1.533097  erro_sin=0.000000e+00
x=1.545664  erro_sin=0.000000e+00
x=1.558230  erro_sin=0.000000e+00
x=1.570796  erro_sin=0.000000e+00
x=1.583363  erro_sin=0.000000e+00
x=1.595929  erro_sin=0.000000e+00
x=1.608495  erro_sin=0.000000e+00
x=1.621062  erro_sin=0.000000e+00
x=1.633628  erro_sin=0.000000e+00
x=1.646195  erro_sin=0.000000e+00
x=1.658761  erro_sin=0.000000e+00
x=1.671327  erro_sin=0.000000e+00
x=1.683894  erro_sin=0.000000e+00
x=1.696460  erro_sin=0.000000e+00
x=1.709026  erro_sin=0.000000e+00
x=1.721593  erro_sin=0.000000e+00
x=1.734159  erro_sin=0.000000e+00
x=1.746726  erro_sin=0.000000e+00
x=1.759292  erro_sin=0.000000e+00
x=1.771858  erro_sin=0.000000e+00
